CustomerID,Recency,Monetary,Frequency,cluster,silhouette,Segment
CUST1000,238,6336,5,2,0.3233341967351742,High-Value / VIP Customers
CUST1001,139,690,2,3,0.5032458947209377,Occasional Low-Value Customers
CUST1002,1020,999,1,0,0.5773284636386308,Lost / Dormant Low-Value
CUST1003,604,444,2,0,0.2272734854050631,Lost / Dormant Low-Value
CUST1004,223,796,1,3,0.5929018499041094,Occasional Low-Value Customers
CUST1005,314,4316,2,2,0.22301684851549827,High-Value / VIP Customers
CUST1006,579,475,2,0,0.15649375605332247,Lost / Dormant Low-Value
CUST1007,624,3992,3,2,0.10466857576847642,High-Value / VIP Customers
CUST1008,332,2096,4,1,0.4999477532087337,Loyal Mid-Value Customers
CUST1009,387,885,2,3,0.4456959100255911,Occasional Low-Value Customers
CUST1010,1,2872,3,1,0.2681574413096033,Loyal Mid-Value Customers
CUST1011,1050,120,1,0,0.5607337290324463,Lost / Dormant Low-Value
CUST1012,1082,320,1,0,0.5566880066610236,Lost / Dormant Low-Value
CUST1013,664,916,2,0,0.3679975948837047,Lost / Dormant Low-Value
CUST1014,142,4641,2,2,0.28610909701221227,High-Value / VIP Customers
CUST1015,222,840,3,1,0.18749693149799515,Loyal Mid-Value Customers
CUST1018,734,1121,3,0,0.2610669935169901,Lost / Dormant Low-Value
CUST1019,107,1386,2,3,0.42028862744430046,Occasional Low-Value Customers
CUST1020,24,2140,2,3,0.24984414173369385,Occasional Low-Value Customers
CUST1021,38,709,4,1,0.41585708262157683,Loyal Mid-Value Customers
CUST1022,55,1237,2,3,0.4035091930577093,Occasional Low-Value Customers
CUST1023,493,620,2,3,0.15422000746266468,Occasional Low-Value Customers
CUST1024,466,916,1,3,0.17443106629270005,Occasional Low-Value Customers
CUST1025,198,448,2,3,0.5246146901511438,Occasional Low-Value Customers
CUST1026,157,4028,4,2,-0.01615160378542181,High-Value / VIP Customers
CUST1027,263,1316,3,1,0.24788347235398286,Loyal Mid-Value Customers
CUST1028,143,4687,4,2,0.20398363937563757,High-Value / VIP Customers
CUST1029,221,5468,4,2,0.35955939779613,High-Value / VIP Customers
CUST1030,523,110,1,0,0.035571008476202495,Lost / Dormant Low-Value
CUST1031,465,1858,3,1,0.1980806919497232,Loyal Mid-Value Customers
CUST1032,49,530,2,3,0.44332867093622724,Occasional Low-Value Customers
CUST1033,697,2092,4,1,0.1804263014368473,Loyal Mid-Value Customers
CUST1034,548,3596,1,0,0.05783033090192919,Lost / Dormant Low-Value
CUST1035,195,773,3,1,0.17987541701818946,Loyal Mid-Value Customers
CUST1036,760,59,1,0,0.5172051915312653,Lost / Dormant Low-Value
CUST1037,392,2453,2,3,0.2485632124091562,Occasional Low-Value Customers
